1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour asthme,Taux d'hospitalisations après passages aux urgences pour asthme,Taux d'actes médicaux SOS médecins pour asthme
2022-02-07,2022-S06,01,Guadeloupe,15-64 ans,475.43581616,0.0,
2022-02-07,2022-S06,01,Guadeloupe,Tous âges,3057.0652174,2258.0645161,
2022-02-28,2022-S09,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2022-02-28,2022-S09,01,Guadeloupe,Tous âges,2795.8387516,2755.9055118,
2022-03-07,2022-S10,01,Guadeloupe,00-14 ans,5919.6617336,12244.897959,
2022-03-07,2022-S10,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2022-03-07,2022-S10,01,Guadeloupe,Tous âges,2684.5637584,2788.8446215,
2022-03-14,2022-S11,01,Guadeloupe,15-64 ans,1327.4336283,0.0,
2022-03-28,2022-S13,01,Guadeloupe,00-14 ans,7928.802589,9433.9622642,
2022-04-04,2022-S14,01,Guadeloupe,00-14 ans,9171.0758377,18750.0,
2022-04-04,2022-S14,01,Guadeloupe,65 ans ou plus,597.01492537,1562.5,
2022-04-11,2022-S15,01,Guadeloupe,15-64 ans,2134.1463415,2020.2020202,
2022-04-18,2022-S16,01,Guadeloupe,00-14 ans,6629.8342541,12765.957447,
2022-04-18,2022-S16,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2022-04-25,2022-S17,01,Guadeloupe,65 ans ou plus,949.36708861,793.65079365,
2022-05-02,2022-S18,01,Guadeloupe,65 ans ou plus,313.47962382,0.0,
2022-05-09,2022-S19,01,Guadeloupe,00-14 ans,7032.5900515,11764.705882,
2022-05-09,2022-S19,01,Guadeloupe,15-64 ans,645.99483204,1010.1010101,
2022-05-16,2022-S20,01,Guadeloupe,65 ans ou plus,606.06060606,862.06896552,
2022-05-16,2022-S20,01,Guadeloupe,Tous âges,3979.2387543,2135.2313167,
2022-05-23,2022-S21,01,Guadeloupe,65 ans ou plus,680.27210884,990.0990099,
2022-05-30,2022-S22,01,Guadeloupe,15-64 ans,2342.6061493,2197.8021978,
